timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1579081629.3476045,1 2 3,1 2 3,pacman,shootingstar,1.9905476570129395,2.01,False,True
1579081635.4981663,2 3 1,1 3 2,muscle,shootingstar,6.136598587036133,2.28,False,False
1579081638.858179,1 3 2,1 2 3,dumbbells,shoutout,3.353036403656006,2.71,False,False
1579081641.0566375,2 3 1,3 2 1,dumbbells,muscle,2.189483165740967,3.04,False,False
1579081645.7785275,3 2 1,1 3 2,muscle,dumbbells,4.715912103652954,2.08,False,False
1579081648.0983229,3 2 1,3 2 1,facewipe,tornado,2.3118185997009277,2.68,False,True
1579081650.0790257,1 2 3,2 1 3,shoutout,facewipe,1.9707303047180176,1.8,False,False
1579081652.0288136,1 2 3,3 1 2,tornado,pacman,1.9398138523101807,4.49,False,False
1579081653.9491498,2 3 1,2 3 1,shootingstar,facewipe,1.9093105792999268,3.74,False,True
1579081656.0485387,2 3 1,3 2 1,dumbbells,pacman,2.0754525661468506,3.71,False,False
1579081657.9683661,3 1 2,3 2 1,facewipe,shootingstar,1.8968901634216309,4.51,False,False
1579081659.633916,1 3 2,2 1 3,shoutout,shoutout,1.654576063156128,4.74,True,False
1579081661.4989278,3 2 1,1 3 2,shoutout,facewipe,1.858001947402954,3.11,False,False
1579081667.6795728,3 2 1,1 2 3,shoutout,weightlifting,6.171665668487549,4.79,False,False
1579081670.2487059,2 3 1,3 2 1,muscle,facewipe,2.5581610202789307,0.79,False,False
1579081672.4930177,2 3 1,2 3 1,facewipe,shoutout,2.234285831451416,0.59,False,True
1579081674.9596455,1 3 2,3 1 2,weightlifting,weightlifting,2.4576523303985596,3.29,True,False
1579081676.6202068,1 3 2,1 2 3,muscle,tornado,1.6505861282348633,0.81,False,False
1579081681.4592724,2 1 3,1 2 3,shootingstar,tornado,4.829092025756836,0.63,False,False
1579081682.8695772,1 2 3,2 3 1,shootingstar,tornado,1.400301218032837,2.13,False,False
1579081684.2488897,2 1 3,3 2 1,pacman,facewipe,1.355377197265625,2.33,False,False
1579081685.6601152,3 2 1,1 2 3,muscle,shoutout,1.4012525081634521,4.26,False,False
1579081688.2701383,3 2 1,1 3 2,muscle,facewipe,2.6000187397003174,4.15,False,False
1579081690.2395747,1 2 3,1 3 2,facewipe,facewipe,1.9594604969024658,4.49,True,False
1579081692.0896254,2 3 1,1 3 2,shoutout,tornado,1.8241243362426758,3.41,False,False
1579081694.5071607,2 3 1,3 2 1,pacman,facewipe,2.394596576690674,2.65,False,False
1579081698.2770815,1 3 2,2 1 3,dumbbells,dumbbells,3.761939287185669,0.99,True,False
1579081700.1999435,1 2 3,3 2 1,weightlifting,shoutout,1.9168777465820312,4.34,False,False
1579081702.2700737,1 3 2,1 3 2,dumbbells,dumbbells,2.059126377105713,1.36,True,True
1579081704.239808,1 3 2,3 1 2,tornado,weightlifting,1.9577665328979492,4.04,False,False
1579081706.0150669,1 2 3,3 1 2,dumbbells,muscle,1.764286994934082,2.4,False,False
1579081707.6193771,1 3 2,3 1 2,pacman,muscle,1.5963046550750732,3.12,False,False
